2024-05-21 19:35:20,400 - INFO - Fetching map goal...
2024-05-21 19:35:20,697 - INFO - GET request to https://challenge.crossmint.io/api/map/c8a1f87a-ed5e-4cce-b5fe-7b10c1a76037/goal succeeded.
2024-05-21 19:35:20,699 - INFO - Map goal fetched successfully.
2024-05-21 19:35:20,886 - INFO - POST request to https://challenge.crossmint.io/api/comeths succeeded.
2024-05-21 19:35:20,889 - INFO - Cometh created at (1, 7).
2024-05-21 19:35:21,099 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:21,103 - INFO - Polyanet created at (2, 2).
2024-05-21 19:35:21,256 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:21,257 - INFO - Polyanet created at (2, 3).
2024-05-21 19:35:21,551 - INFO - POST request to https://challenge.crossmint.io/api/comeths succeeded.
2024-05-21 19:35:21,555 - INFO - Cometh created at (2, 13).
2024-05-21 19:35:21,816 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:21,820 - INFO - Polyanet created at (2, 23).
2024-05-21 19:35:22,054 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:22,057 - INFO - Polyanet created at (2, 24).
2024-05-21 19:35:22,216 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:22,220 - INFO - Polyanet created at (3, 2).
2024-05-21 19:35:22,346 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:22,349 - INFO - Polyanet created at (3, 4).
2024-05-21 19:35:22,468 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:22,471 - INFO - Polyanet created at (3, 5).
2024-05-21 19:35:22,575 - WARNING - POST request to https://challenge.crossmint.io/api/soloons rate limited. Retrying in 5 seconds...
2024-05-21 19:35:27,701 - WARNING - POST request to https://challenge.crossmint.io/api/soloons rate limited. Retrying in 5 seconds...
2024-05-21 19:35:32,884 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:35:32,886 - INFO - Soloon created at (3, 20).
2024-05-21 19:35:33,024 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:33,028 - INFO - Polyanet created at (3, 21).
2024-05-21 19:35:33,159 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:33,162 - INFO - Polyanet created at (3, 22).
2024-05-21 19:35:33,276 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:33,281 - INFO - Polyanet created at (3, 24).
2024-05-21 19:35:33,401 - INFO - POST request to https://challenge.crossmint.io/api/comeths succeeded.
2024-05-21 19:35:33,404 - INFO - Cometh created at (3, 27).
2024-05-21 19:35:33,544 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:33,547 - INFO - Polyanet created at (4, 3).
2024-05-21 19:35:33,676 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:35:33,679 - INFO - Soloon created at (4, 5).
2024-05-21 19:35:33,797 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:33,800 - INFO - Polyanet created at (4, 6).
2024-05-21 19:35:33,929 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:33,932 - INFO - Polyanet created at (4, 7).
2024-05-21 19:35:34,063 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:35:34,067 - INFO - Soloon created at (4, 8).
2024-05-21 19:35:34,190 - WARNING - POST request to https://challenge.crossmint.io/api/comeths rate limited. Retrying in 5 seconds...
2024-05-21 19:35:39,352 - WARNING - POST request to https://challenge.crossmint.io/api/comeths rate limited. Retrying in 5 seconds...
2024-05-21 19:35:44,517 - INFO - POST request to https://challenge.crossmint.io/api/comeths succeeded.
2024-05-21 19:35:44,522 - INFO - Cometh created at (4, 16).
2024-05-21 19:35:44,664 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:44,668 - INFO - Polyanet created at (4, 19).
2024-05-21 19:35:44,803 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:44,807 - INFO - Polyanet created at (4, 20).
2024-05-21 19:35:44,965 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:44,968 - INFO - Polyanet created at (4, 23).
2024-05-21 19:35:45,106 - INFO - POST request to https://challenge.crossmint.io/api/comeths succeeded.
2024-05-21 19:35:45,108 - INFO - Cometh created at (4, 29).
2024-05-21 19:35:45,235 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:45,237 - INFO - Polyanet created at (5, 3).
2024-05-21 19:35:45,384 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:35:45,386 - INFO - Soloon created at (5, 6).
2024-05-21 19:35:45,523 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:45,526 - INFO - Polyanet created at (5, 8).
2024-05-21 19:35:45,881 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:45,884 - INFO - Polyanet created at (5, 9).
2024-05-21 19:35:46,044 - INFO - POST request to https://challenge.crossmint.io/api/comeths succeeded.
2024-05-21 19:35:46,051 - INFO - Cometh created at (5, 12).
2024-05-21 19:35:46,171 - WARNING - POST request to https://challenge.crossmint.io/api/polyanets rate limited. Retrying in 5 seconds...
2024-05-21 19:35:51,319 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:51,320 - INFO - Polyanet created at (5, 17).
2024-05-21 19:35:51,438 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:51,440 - INFO - Polyanet created at (5, 18).
2024-05-21 19:35:51,569 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:35:51,570 - INFO - Soloon created at (5, 19).
2024-05-21 19:35:51,744 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:51,748 - INFO - Polyanet created at (5, 23).
2024-05-21 19:35:51,873 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:51,877 - INFO - Polyanet created at (6, 4).
2024-05-21 19:35:52,004 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:52,008 - INFO - Polyanet created at (6, 10).
2024-05-21 19:35:52,138 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:52,141 - INFO - Polyanet created at (6, 16).
2024-05-21 19:35:52,276 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:52,281 - INFO - Polyanet created at (6, 22).
2024-05-21 19:35:52,428 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:52,433 - INFO - Polyanet created at (7, 4).
2024-05-21 19:35:52,582 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:35:52,585 - INFO - Polyanet created at (7, 10).
2024-05-21 19:35:52,714 - WARNING - POST request to https://challenge.crossmint.io/api/soloons rate limited. Retrying in 5 seconds...
2024-05-21 19:35:57,847 - WARNING - POST request to https://challenge.crossmint.io/api/soloons rate limited. Retrying in 5 seconds...
2024-05-21 19:36:03,028 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:36:03,032 - INFO - Soloon created at (7, 15).
2024-05-21 19:36:03,164 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:36:03,166 - INFO - Polyanet created at (7, 16).
2024-05-21 19:36:03,295 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:36:03,297 - INFO - Polyanet created at (7, 22).
2024-05-21 19:36:03,416 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:36:03,419 - INFO - Soloon created at (7, 23).
2024-05-21 19:36:03,580 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:36:03,585 - INFO - Soloon created at (8, 4).
2024-05-21 19:36:03,718 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:36:03,720 - INFO - Polyanet created at (8, 5).
2024-05-21 19:36:04,216 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:36:04,220 - INFO - Soloon created at (8, 10).
2024-05-21 19:36:04,364 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:36:04,368 - INFO - Polyanet created at (8, 11).
2024-05-21 19:36:04,512 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:36:04,516 - INFO - Polyanet created at (8, 15).
2024-05-21 19:36:04,655 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:36:04,660 - INFO - Polyanet created at (8, 21).
2024-05-21 19:36:04,876 - WARNING - POST request to https://challenge.crossmint.io/api/polyanets rate limited. Retrying in 5 seconds...
